sha,bytes,note
aaa3fdc,15970816,"baseline pre-size-diet - measured fresh on main at aaa3fdc, supersedes the stale 6b92982/15732736 reading from before #17 registries-schema-hooks landed"
aaa3fdc,13680128,"size-diet #18: drop egui_commonmark/default_fonts/persistence, deps opt-level=s"
3368e38,10231808,audio-analysis
3368e38,10231808,audio-analysis
bc4c19e,10121728,"true baseline (measured fresh from bc4c19e's committed release profile - this worktree's own copy of size_log.csv predates the size_log.csv correction pushed to main in 0827f9a)"
3368e38,10231808,"audio-analysis #19: Peaks toolkit (onsets/beats/BPM, peak/RMS/LUFS, speech ranges, xcorr sync offset), AutoDuck/Normalize actions (real delta vs true baseline: +110,080 B / +107.5 KB)"
fdbfa66,10213376,trim-model
bc4c19e,10156032,player-rate-loop
bc4c19e,10250752,command-palette
bc4c19e,10121728,"true baseline (measured fresh from bc4c19e's committed release profile - this worktree's own copy of size_log.csv predates the size_log.csv correction pushed to main in 0827f9a)"
bc4c19e,10250752,"command-palette #20: Ctrl+K palette, keymap presets, cheat sheet, script @on hooks (real delta vs true baseline: +129,024 B / +126 KB)"
bc4c19e,10121728,"true baseline (measured fresh from bc4c19e's committed release profile - this worktree's own copy of size_log.csv predates the size_log.csv correction pushed to main in 0827f9a)"
bc4c19e,10193408,"color-engine #24: EffectKind::{Lut,Primaries,Qualifier,FrameBlend}, .cube parser, builtin_looks/apply_look, frame_stats, master/source-clip effects (real delta vs true baseline: +71,680 B / +70 KB)"
bc4c19e,10121728,"correction: PR #41's own reported 13,680,128 predates a background process that kept editing after the review - the merged commit actually also includes the main-crate opt-level=s step (not skipped as PR #41 said); retroactively validated here: headless_1000_clips_stays_fast 0.93ms (<<10ms gate), bench_4k_preview completes cleanly (29.0ms/frame 720p, 74.7ms/frame native 4K), no crash/regression observed"
635536f,10287616,"forgiveness #21: non-blocking toasts/confirms, autosave, recovery, cache clear, history restore, undo-toast delete/remove-unused (naive delta vs the log's bc4c19e baseline: +165,888 B/+162.0 KB; that baseline predates color-engine's own +71,680 B, already on this branch via the main merge, so this feature's own share is ~+94,208 B/+92.0 KB - over the plan's ~76 KB estimate but well under the 300 KB named-offset gate)"
9d92749,10231808,snap-engine
7985695,10912256,transcript-captions
d7ea784,10887680,"media-library #34: offline detection/badge/Relink/Consolidate, subclips + Smart Bins, sortable list columns, thumbnail-viewport culling, library keyboard nav, empty state, image-sequence import, 8 new MCP tools (naive delta vs this branch's own last row, snap-engine 10,231,808: +655,872 B; that row predates audio-analysis #19's merge via PR #48 same as every other wave-2 branch (see origin/main's 7edaec0 correction, not yet merged onto this branch) - real delta vs the true a9d2d99 baseline of 10,684,928 B: +202,752 B / +198.0 KB, against the plan's ~118 KB estimate)"
1a4967e,10722816,timeline-trim-gestures
7801b9c,10744832,source-monitor
a9d2d99,10684928,"true baseline (measured fresh from a9d2d99's committed release profile - the log's snap-engine row predates player-rate-loop/trim-model/audio-analysis's own merges into main, none of which appended a size.ps1 row)"
e8761d2,10954752,"export-deliver #28: platform preset tiles, VecDeque render queue+ETA, Export In/Out Range+letterbox, loudnorm, bake pipeline (render-in-place/stabilize/denoise/slow-mo), markers CSV/YouTube-chapters export+import, 11 MCP tools (naive delta vs the log's stale snap-engine baseline: +722,944 B/+706.0 KB; real delta vs true baseline a9d2d99: +269,824 B/+263.5 KB - over the plan's ~78 KB estimate, see PR body for detail)"
ce54b87,10721792,"audio-dsp-automation #26: FilterKind::{DeHum,Limiter,DeEsser} DSP, K-weighted Lufs meter, BusMeterFeed audio-thread->UI ring buffer + sync_buses, track volume automation, Project::apply_repair (Repair/Clarity chains), 6 new MCP tools (delta vs the log's last row, 9d92749/snap-engine: +489,984 B/+478.5 KB - well over the plan's ~70 KB estimate and the +64 KB soft gate; the 3 cascaded-biquad/lookahead-ring/K-weighting DSP paths plus their generic ParamSpec/UI/MCP plumbing across mixer_fx.rs, mixer_ui.rs and tools_mixer.rs account for most of it)"
